region,year,share_online,income_pc,online_buyers_pct,cashless_payments_index
Алтайский край,2022,5.7,32901.0,89.1,58.18057967879498
Амурская область,2022,2.7,49798.0,92.7,60.711860109027945
Архангельская область,2022,6.0,52050.0,88.2,67.58856813983728
Астраханская область,2022,1.6,33137.0,91.0,55.30085658690594
Белгородская область,2022,4.0,41855.0,86.6,58.60005106241869
Брянская область,2022,4.3,37428.0,87.7,54.02429879429745
Владимирская область,2022,2.4,34667.0,87.6,59.73658831141533
Волгоградская область,2022,5.2,32673.0,95.7,57.40979549846801
Вологодская область,2022,3.4,37178.0,88.5,63.72599593119751
Воронежская область,2022,5.8,41156.0,95.9,59.66891936005647
Забайкальский край,2022,0.8,38601.0,89.9,63.49096164612804
Ивановская область,2022,3.3,36509.0,89.7,55.3371642169384
Иркутская область,2022,2.5,37484.0,91.2,63.27662140702344
Калининградская область,2022,1.7,38327.0,93.7,61.28641418011521
Калужская область,2022,4.0,39423.0,87.6,59.73284466666009
Камчатский край,2022,1.5,77505.0,88.3,64.88841715582379
Кировская область,2022,5.5,35178.0,86.5,62.56195593347458
Костромская область,2022,5.0,37285.0,87.8,60.53655444989296
Краснодарский край,2022,4.6,48684.0,94.6,57.23191966155159
Красноярский край,2022,2.4,43183.0,87.5,60.65741716190145
Курганская область,2022,3.4,29838.0,90.7,62.22937525282879
Курская область,2022,3.5,39401.0,89.3,54.73979654014981
Ленинградская область,2022,6.5,40790.0,89.8,68.82955863183702
Липецкая область,2022,4.9,41177.0,87.2,57.0297276377723
Магаданская область,2022,1.1,101999.0,97.3,66.71711879439005
Московская область,2022,10.1,55746.0,97.5,63.0795640016244
Мурманская область,2022,4.6,65707.0,92.9,67.34064224045417
Нижегородская область,2022,6.3,45573.0,89.1,62.15302659526635
Новгородская область,2022,4.1,34201.0,82.4,65.12687133739365
Новосибирская область,2022,8.7,44359.0,91.1,58.58130016496859
Омская область,2022,4.7,36919.0,91.7,58.083028526004334
Оренбургская область,2022,3.9,32972.0,96.8,56.026862916115086
Орловская область,2022,4.8,35923.0,81.2,59.29483795626337
Пензенская область,2022,2.0,32072.0,86.2,54.69464077882243
Пермский край,2022,3.3,39767.0,92.0,64.28748398769267
Приморский край,2022,2.2,49942.0,91.4,56.70766222976825
Псковская область,2022,1.9,35031.0,83.5,61.38561050670229
Республика Алтай,2022,6.4,29564.0,90.0,63.70060781537603
Республика Башкортостан,2022,1.2,36463.0,93.7,62.478009595944826
Республика Бурятия,2022,0.4,35163.0,92.6,64.95912588937237
Республика Дагестан,2022,0.1,37606.0,92.4,29.30149239538368
Республика Ингушетия,2022,0.3,23047.0,86.8,22.198822707006546
Республика Калмыкия,2022,1.0,23771.0,96.9,58.64310340862937
Республика Карелия,2022,2.5,46019.0,87.5,68.22786935352609
Республика Коми,2022,4.8,50840.0,87.9,68.35195696751242
Республика Крым,2022,6.3,29817.0,91.7,38.431014081118825
Республика Марий Эл,2022,3.4,27276.0,86.1,59.85085877353308
Республика Мордовия,2022,5.8,27439.0,84.8,56.563878604469785
Республика Саха (Якутия),2022,2.3,59040.0,95.3,68.67072760993416
Республика Тыва,2022,2.0,24460.0,92.7,62.52435795068949
Республика Хакасия,2022,0.8,31056.0,92.3,58.29569838403076
Ростовская область,2022,6.5,41377.0,93.6,55.09330425910587
Рязанская область,2022,2.0,36431.0,90.7,56.27545246443071
Самарская область,2022,5.9,38444.0,88.8,59.14547882918792
Саратовская область,2022,5.3,30290.0,94.2,58.3618003908072
Сахалинская область,2022,1.3,79322.0,91.8,65.17304923568561
Свердловская область,2022,9.0,47109.0,90.0,60.10633400711626
Смоленская область,2022,1.8,35653.0,87.2,54.997941422540485
Ставропольский край,2022,4.0,30100.0,91.3,52.02352068800381
Тамбовская область,2022,5.2,34783.0,90.5,56.71679673479054
Тверская область,2022,1.8,36265.0,84.6,61.376404554174194
Томская область,2022,5.8,37954.0,84.7,63.11516969077382
Тульская область,2022,1.6,37146.0,93.3,57.620631340112624
Тюменская область,2022,3.2,62161.0,93.9,64.19310959557458
Удмуртская Республика,2022,4.1,33820.0,88.1,62.42667663458423
Ульяновская область,2022,4.5,31670.0,88.9,56.24814642942266
Хабаровский край,2022,2.4,52656.0,93.0,62.59088078941761
Челябинская область,2022,6.2,35347.0,92.0,57.50304837348365
Чеченская Республика,2022,0.1,30751.0,97.3,23.179776955091285
Ярославская область,2022,2.5,40667.0,86.5,60.36562910057385
г. Москва,2022,10.3,102143.0,97.9,64.53557198482613
г. Санкт-Петербург,2022,13.5,65395.0,93.3,72.26585743048346
г. Севастополь,2022,7.6,35679.0,95.0,43.433232421244966
