region,first_year,last_year,first_value,last_value,absolute_increase,cagr
Республика Калмыкия,2017,2023,0.0,36.5,36.5,
г. Санкт-Петербург,2014,2023,2.0,19.0,17.0,0.28420973016430584
г. Москва,2014,2023,1.1,15.5,14.4,0.3417138113210252
Московская область,2014,2023,0.4,10.6,10.2,0.4392572653248541
Новосибирская область,2014,2023,1.1,10.1,9.0,0.27935796269677304
Удмуртская Республика,2014,2023,0.2,8.9,8.700000000000001,0.5245831386988824
Республика Мордовия,2014,2023,0.1,8.8,8.700000000000001,0.644574796238788
Свердловская область,2014,2023,1.4,10.0,8.6,0.24415549693475813
Ярославская область,2014,2023,0.1,8.3,8.200000000000001,0.6339204152187476
Мурманская область,2014,2023,0.3,8.3,8.0,0.4461636009377945
Кемеровская область - Кузбасс,2014,2023,0.2,7.8,7.6,0.502397860063575
Архангельская область (кроме Ненецкого автономного округа),2014,2023,0.2,7.8,7.6,0.502397860063575
Архангельская область,2014,2023,0.2,7.6,7.3999999999999995,0.4980679431428716
г. Севастополь,2015,2023,0.05,7.1,7.05,0.8579586447404615
Кировская область,2014,2023,0.1,7.1,7.0,0.6058144886858523
