region,year,share_online,territory_level,population,income_pc,online_buyers_pct,cashless_payments_index,abs_change,growth_rate_pct,growth_increment_pct
Республика Калмыкия,2023,36.5,subject,,28635.0,,60.756363304465374,35.5,3650.0,3550.0
г. Санкт-Петербург,2023,19.0,subject,,72037.0,,67.42083424260102,5.5,140.74074074074073,40.74074074074075
г. Москва,2023,15.5,subject,,117103.0,,63.40031141375852,5.199999999999999,150.48543689320388,50.48543689320388
Московская область,2023,10.6,subject,,64870.0,,64.2707299575039,0.5,104.95049504950497,4.950495049504955
Новосибирская область,2023,10.1,subject,,49936.0,,61.04655671380568,1.4000000000000004,116.0919540229885,16.09195402298851
Свердловская область,2023,10.0,subject,,53413.0,,62.693075299946976,1.0,111.11111111111111,11.111111111111116
Удмуртская Республика,2023,8.9,subject,,38939.0,,64.06965032221528,4.800000000000001,217.0731707317073,117.07317073170734
Республика Мордовия,2023,8.8,subject,,30647.0,,56.47618202077845,3.000000000000001,151.7241379310345,51.7241379310345
Челябинская область,2023,8.7,subject,,39703.0,,60.18885346763384,2.499999999999999,140.32258064516128,40.32258064516128
Мурманская область,2023,8.3,subject,,75786.0,,68.46790274155337,3.700000000000001,180.43478260869568,80.43478260869567
Ярославская область,2023,8.3,subject,,46684.0,,62.71881780882256,5.800000000000001,332.0,232.00000000000003
Архангельская область (кроме Ненецкого автономного округа),2023,7.8,subject,,,,,1.5999999999999996,125.80645161290325,25.806451612903224
Кемеровская область - Кузбасс,2023,7.8,subject,,,,,1.5,123.8095238095238,23.809523809523814
Архангельская область,2023,7.6,subject,,58967.0,,68.60031501842838,1.5999999999999996,126.66666666666666,26.66666666666666
Республика Татарстан,2023,7.5,subject,,52524.0,,,1.0999999999999996,117.1875,17.1875
